MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
NASA PICKS BOEING <BA> FOR SYSTEM CONTRACT|Boeing Co said the National Aeronautics and Space Administration selected it for negotiations leading to a contract for the Technical and Management System project in support of the Space Station program. NASA's initial commitment is about 40 mln dlrs. Under terms of the contract, Boeing will design and operate an information exchange network to support development of the proposed space station. Reuter
N.Y. PHYSICAL COFFEE MARKET SEES LIGHT BUSINESS|The New York physical coffee market was lightly traded today, dealers said. Indonesian EK-Ones afloat sold for 86.00 cents a lb, ex-dock New York. Colombians sold for 108.50 cents a lb gross, ex-dock New York, dealers said. The Colombian rebate today was 6.4 cents. Mexican prime-washed beans were offered for spot shipment at 9.0 cents under the May futures, with buyers' ideas at 10.0 cents under, ex-dock. Mexicans were also offered for April/May shipment at 9.25 cents under the May futures, dealers said. Reuter
MINNEAPOLIS WHEAT PROTEIN SCALES|CTS/BU BASIS MPLS may SPRING WHEAT ORD 17un unch 11.00 12un unch 12.00 3p up 5 13.00 11p unch 14.00 38p unch 15.00 90p unch 16.00 130p unch 17.00 135pn unch NC-NO COMPARISON unch-UNCHANGED dn-DOWN P-PLUS U-UNDER N-NOML CTS BU BASIS MPLS may WINTER WHEAT MPLS/S. DAKOTA N. DAKOTA/MONTANA ORD 18un unch 18un unch 10.00 15un unch 15un unch 11.00 3un dn 2 optn dn 2 12.00 3p dn 2 6p dn 2 13.00 18p unch 10p unch 14.00 38pn unch 38pn unch 15.00 75pn unch 75pn unch 16.00 89pn unch 89pn unch NC-NO COMPARISON unch-UNCHANGED dn-DOWN P-PLUS U-UNDER N-NOML Reuter
FINAL TERMS SET ON ATARI CORP CONVERTIBLE EUROBOND|The coupon on the 75 mln dlr, 15-year, convertible eurobond for Atari Corp has been set at 5-1/4 pct compared with indicated range of five to 5-1/4 pct, lead manager Paine Webber International said. The conversion price was set at 32-5/8 dlrs, representing a premium of 20.38 pct over yesterday's Atari share close of 27 dlrs. REUTER
BOEING PROPOSES WESTLAND DEAL|Boeing Co <BA.N> said its Boeing Vertol helicopter unit proposed that U.K. Helicopter maker <Westland Plc> should build up to a third of all future Chinooks for Britain's airforce. A Boeing statement made here said the work would involve up to 12,500 man-hours per machine, and solve some of Westland's short-term workload problems. It comes amid speculation that Britain may pull out of the European EH-101 project, with the possibility of up to 2,000 Westland job losses. Westland was rescued last year by United Technologies Corp <UTX.N> and Fiat Spa <FIAT.MI>. Reuter
THATCHER FIRM AS PRESSURE MOUNTS FOR ELECTIONS|As pressure mounted on British Prime Minister Margaret Thatcher to call a June election, she said today that the decision on when to go to the county was hers and hers alone. She was speaking to parliament after senior members of the ruling Conservative Party urged her to call elections due in June 1988 a year early in the wake of two more opinion polls giving her party a commanding lead. Asked by a Conservative back-bencher for an assurance that the decision was hers alone, and did not depend on "media hype, pressure and speculation," she replied: "The date of the next election will be decided by Downing Street, not Fleet Street." Downing Street is the Prime Minister's official residence, Fleet Street the traditional home of the British national press. A Harris poll for the breakfast-time program TV-AM gave the Tories 43 pct of the vote, representing a majority of 132 seats in parliament, their biggest lead since the party's landslide victory in the 1983 elections. In The Times of London, a MORI poll gave the Tories a 92 seat majority. It was the sixth poll to show the ruling party with a big lead over the opposition Labour Party and the fast-improving centrist Alliance. Leading the chorus urging Thatcher to go to the polls in June, Sir Marcus Fox, vice-chairman of the influential 1922 committee of Conservative back-benchers, said: "I have always felt that it would be June, and this reinforces my view. "I always thought June was right. We have got most of our legislation through and to go beyond that I do not think would be in the national interest." Another Tory back-bencher, Anthony Beaumont-Dark, said: "I have always been an October man, but I think it would be good to get it out of the way now." Their comments came as government officials dismissed speculation about a snap election to coincide with local polls in May, timed to reap maximum advantage from the recent popularity surge, Thatcher's successful trip to Moscow and Labour's current popularity slump. Calls for a May poll were also prompted by Tory concern over a steady advance by the Alliance, and the possibility that if it continues it could rob the Conservatives of an overall majority in parliament. Today's MORI poll showed an Alliance gain of eight points over the past month in around 100 key marginal seats where the outcome of the next election is likely to be decided. Reuter
MIDWEST GRAIN FUTURES 11:10 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 280 3/4 UNCH SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
CASH WHOLESALE BEEF PRICES|CLOSE CDT APRIL 7 CENTS PER LB CHANGE CHOICE STEERS YIELD GRADE 3 600/700 98-1/2b no comparison 700/800 98-1/2b no comparison 800/900 98-1/2b no comparison CHOICE HEIFERS 500/550 87-88 unch 550/700 97-1/2-98 no comparison Reuter
GENCORP <GY> SAYS BUYBACK BETTER THAN TAKEOVER|GenCorp Inc said the decision by General Partners, comprised of AFG Industries and Wagner and Brown, to end its hostile offer for the company supports its belief that the buy back offer it announced yesterday was a "financially superior alternative." GenCorp said it would annouce details of its plans to buy back 54 pct of its stock for 1.6 billion dlrs, or 130 dlrs a share, later this week. GenCorp's buy back was made to fend off the hostile 2.3 billion dlr, 100-dlr-a-share, tender offer by AFG and Wagner and Brown. Earlier today AFG and Wagner and Brown said that without the benefit of additional information available to GenCorp's management, it cannot compete economically with GenCorp's proposal. The group said it is ending its tender offer for GenCorp and promptly return to tendering shareholders all shares tendered pursuant to its offer. The group owns 9.8 pct, or 2,180,608 shares, of GenCorp's outstanding shares. Reuter
SENATE EXTENDS DAIRY COMMISSION REPORT|The Senate approved legislation to extend until March 31, 1988 the date for the National Commission on Dairy Policy to report on the federal milk price support program and the dairy industry. The report is to recommend whether the Agriculture Department should have continued authority to reduce the milk price support level. The one year extension was required due to delays in setting up the commission. Reuter
MOODY'S SAYS LOWER RATINGS SHOW 1987 DOWNTREND|Moody's Investors Service Inc said the credit quality of corporate bond issuers continued to decline in first quarter of 1987. Of all corporate ratings changes during the quarter, 66 pct were downgrades compared with 55 pct during all of 1986. Moody's said downgrades led upgrades last quarter by two to one. It downgraded 50 companies, affecting 61 billion dlrs of debt and upgraded 25 companies, affecting 9 billion dlrs of debt. It said more than half of the quarter's downgrades were in the industrial sector, affecting 25 billion dlrs of debt. Moody's said that continued leveraged buyouts and restructuring among small and medium-sized companies will account for up to one-quarter of coporate debt downgrades. Worldwide competition and overcapacity will continue to take its toll on industrial companies, Moody's added. It said intensifying competition in an environment of slow economic growth, Moody's predicts 2.5 pct worldwide growth in 1987, will lower returns and margins for many multinational firms. Bank and finance company downgrades outpaced upgrades by 16 to 6 respectively. It said this trend will continue because of Latin American debt problems. Reuter
SENATE FARM LEADER URGES HELP FOR RURAL AMERICA|The U.S. Senate Agriculture Committee chairman said he wanted to develop a plan to help rural America, which he said has been neglected by the Reagan administration. "I hope to develop a sound and comprehensive plan to revitalize rural America.... We need a renewed national commitment to rural America and we will have one," Sen. Patrick Leahy (D-Vt.) told a Senate Agriculture Committee hearing. Leahy faulted the Reagan administration for having no strategy to revitalize rural America. Leahy added that some rural countries were losing population and this was contributing to the economic decline. Reuter
UAL <UAL.N> PILOTS PROPOSE WAGE CUT TO FUND BUYOUT|The union representing 7,000 pilots at United Airlines is proposing wage cuts of up to 25 pct to help finance a 4.5 billion dlr employee buyout of the nation's second largest air carrier. In a television link-up of 10,000 employees at 11 sites nationwide, the Air Line Pilots Association unveiled details of a planned employee stock ownership plan for United, a wholly-owned subsidiary of UAL Inc. The proposed wage cuts would affect senior pilots the most, although the other 53,000 workers employed by United would also be asked to accept less pay. In addition, the union is asking its pilots to invest one-third of the union pension fund's 1.1 billion dlrs in the proposed employee-owned company. In an effort to get the rank and file to contribute five pct of their earnings, United's 21-member master executive council donated 150,000 dlrs in cash and committed 2.1 mln dlrs in pension fund assets for acquisition of new preferred shares. REUTER
WEST FARGO CATTLE UP 2.00 DLRS - USDA|slaughter cattle rose 2.00 dlrs, the usda said. steers - choice 2-4 1030-1360 lbs 63.75-65.50. heifers - choice 2-4 976-1325 lbs 61.00-63.50. Reuter
DOE RECOMMENDS SPECIAL UNIT TO ENRICH URANIUM|Energy Secretary John Herrington told Congress that a federally chartered corporation would be the best way to manage and operate the government's uranium enrichment program. He said in a letter to Congressmen that unless the program, now run by the Energy Department, is improved, sales worth five billion dlrs could be lost between 1990 and 2000. The program now has annual commercial sales of about one billion dlrs and holds 50 pct of the free world market for enrichment services. A department official said the world market for enriched uranium for reactors for power utilities is increasingly competitive and private entity could better tap it. The Administration's plan to spin off the department's uranium enrichment operation is in line with it effort to reduce the federal government's role in areas where it feels private enterprise could be more efficient. reuter
TOTAL SYSTEMS SERVICES <TSYS> 1ST QTR NET|Shr nine cts vs seven cts Net 1,356,000 vs 1,041,000 Revs 9,729,000 vs 8,367,000 Reuter
AUSTRALIAN FOREIGN SHIP BAN ENDS|Tug crews in New South Wales (NSW), Victoria and Western Australia yesterday lifted their ban on foreign-flag ships carrying containers but NSW ports are still being disrupted by a separate dispute, shipping sources said. The ban, imposed a week ago over a pay claim, had prevented the movement in or out of port of nearly 20 vessels, they said. The pay dispute went before a hearing of the Arbitration Commission today. Meanwhile, disruption began today to cargo handling in the ports of Sydney, Newcastle and Port Kembla, they said. The industrial action at the NSW ports is part of the week of action called by the NSW Trades and Labour Council to protest changes to the state's workers' compensation laws. Reuter
PALL CORP <PLL> SETS QUARTERLY DIVIDEND|Qtly div 8-1/2 cts vs 8-1/2 cts prior Pay May One Record April 20 Reuter
N.Y. PLATINUM FUTURES FINISH HIGHER|Platinum futures finished higher as the metal continued to follow the strong silver market, analysts said. The key July platinum delivery settled at 572.20 dlrs an ounce, up 3.60 dlrs but below a session high of 577.50 dlrs. Other months gained 3.70 to 4.60 dlrs. However, steady trade selling and skittish speculators kept platinum well below session highs. "Most metals players are in the silver pit, not here," said one floor analyst. Meanwhile, palladium ended 25 to 50 cts firmer, but also under the day's highs, in sympathy. Reuter
PROXMIRE OUTLINES INSIDER TRADING LEGISLATION|Senate Banking Committee Chairman William Proxmire (D-Wis) said he planned to introduce legislation shortly to require greater public disclosure of corporate takeovers and fairer treatment for all shareholders. Speaking to the National Association of Manufacturers, Proxmire said recent insider trading stock scandals increased the chance that Congress will act to curb abuses. "We are proposing legislation that would provide for more disclosure, would be fairer to all shareholders, and would insure that takeovers are properly financed," he said. Among the provisions, the bill would reduce the threshold for notifying the Securities and Exchange Commission that a investor or group has acquired a percentage of stock in a company to three pct from the current five pct threshold within 10 days, Proxmire said. In addition, there would be a pre-notificaton requirement that an investor intended to aquire three pct that would have to filed with the SEC. Proxmire said the pre-notification requirement was meant to prevent arbitragers from having a jump on the general public in knowing about coming takeover attempts. Proxmire said he would call for extending the period that a tender offer must be kept open under the Williams Act to 60 business days from the current 20 business days. His bill would provide for private suits if the acquiring company violated the time period on the tender offer. To correct abuses in the financing of takeovers, Proxmire said the legislation would aim at insuring current margin requirments are properly enforced. The Federal Reserve Board has a 50 pct margin requirement for purchasing stock, but Proxmire said it is not generally enforced in hostile takeovers. Rather, the groups or individuals leading a takeover declare that they can raise the capital for a takeover without actually putting any of their own money, Proxmire said. He said his bill would allow private suits for damages for failure to meet the Federal Reserve's 50 pct margin requirements. The bill also would require more disclose when several investors form an alliance in a hostile takeover. "When Pickens and Icahn get together we want people to know about it," Proxmire said. Proxmire said he favored the approach used in Britain towards two-tiered tender offers that insures that all shareholders recieve equal treatment. He said he expected amendments to the bill also would cover defensive mechanisms such as green mail and poison pills. Proxmire said he intended to introduce his bill later this month and predicted the Senate committee would act this spring. He said he was hopeful Congress could pass a bill this year. Reuter
MELRIDGE <BULB> UNIT IN REAL ESTATE AGREEMENT|Melridge Inc said its 50 pct owned Conroy's Inc subsidiarey, which franchises flower shops, has entered into an agreement for an affiliate of Public Storage Inc to acquire and develop real estate for the expansion of Conroy's franchise operations. The company said under the agreement, Public Storage will obtain an undisclosed equity interest in Conroy's and Melridge and undisclosed equity interest in the Public Storage affiliate. Reuter
DOLLAR STEADY IN LATE PARIS TRADING|The dollar was steady on the day but slightly down on yesterday's late range in very quiet trading with operators generally opting for caution ahead of this week's monetary meetings in Washington, dealers said. The dollar was quoted at a late 6.0640/70 francs after a fix at 6.0620, an early 6.0565/90 and yesterday's late 6.0710/30. The mark was quoted at a late 332.69/71 francs per 100 after a fix at 332.70, an early 332.72/75 and last night's 332.70/72 range. REUTER
ALEX BROWN INC <ABSB> 1ST QTR MARCH 27 NET|Shr primary 78 cts vs 68 cts Shr diluted 75 cts vs 68 cts Qtrly div six cts vs five cts Net 7,929,000 vs 6,569,000 Revs 78.7 mln vs 61.9 mln NOTE: Pay date for the qtrly div is April 28 for shareholders of record April 20. Reuter
FOB U.S. GULF CORN VALUES SLIGHTLY FIRMER|FOB U.S. gulf corn values were slightly firmer as active gulf interest boosted gulf FOB and CIF values today, exporters said. Loading programs and relatively slow country movement kept gulf interest lively. There were indications that 50,000 tonnes traded for August shipment at 20 cents over September, that 50,000 tonnes traded yesterday for June at 20-1/2 cents over July, and that 25,000 tonnes of number three corn traded yesterday off the Atlantic at 23 over May for May 1-20. Hard wheat offers were firm amid tight pipeline supplies. Dealers quoted the following afternoon FOB U.S. gulf values, basis Chicago futures, except hard red winter wheat basis Kansas City. (In cents per bushel) Corn (Number three grade) April - 23 ov May bid, 26 offered. May - 23 ov May bid, 26 offered. June - 21 ov Jly bid, 23 offered. Soybeans L/H April - No bids, 26 ov May offered. May - No bids, 25 ov May offered. June - No bids, 26 ov Jly offered. HRW wheat April - No bids, 43 ov May offered. May - No bids, 43 ov May offered. June - No bids, 45 ov Jly offered. July - 35 ov Jly bid, 39 offered. August - 35 ov Sep bid, 39 offered. September - 36 ov Sep bid, 40 offered. SRW wheat March - No bids or offers. July - 15 ov Jly bid, 19 offered. August - 15 ov Sep bid, 19 offered. September - 16 ov Sep bid, 23 offered. Reuter
MINNEAPOLIS SPRING WHEAT CLOSES HIGHER|Spring wheat futures closed 1-3/4 to 3/4 cents higher as some exporter pricing and firm cash demand lent support to an otherwise quiet market, traders said. May closed 1-3/4 cents higher at 2.85-1/4 dlrs. The 14 pct spring wheat cash basis was steady at 38 cents over May despite increased receipts of 186 cars. Milling durum was steady at 3.95 to 4.00 dlrs and terminal quality was unchanged at 3.55 dlrs for Minneapolis and 3.80 dlrs Duluth. Other quotes were unchanged with Duluth sunseed at 7.80 dlrs, number one and two oats at 1.55 to 1.66 dlrs, feed barley at 1.75 dlrs for Duluth and malting barley at 2.00 to 2.05 dlrs. Reuter
CBT CORN FUTURES CLOSE HIGHER ON FIRM NOTE|CBT corn futures closed on or near the highs, up 1-1/4 to three cents per bushel, with May settling at 1.59-1/2 dlrs after posting a 1-1/2 cent range. Slow country movement, yesterday's sharp jump in the weekly corn export figure to about three times last year's weekly inspections, plus the outlook for a continued active export pace due to the decline in the U.S. dollar this year, supported nearbys, traders said. Many traders said they were mystified why Drexel Burnham was such an aggressive buyer today in new crop December. Farmers will probably plant as many acres as allowed under the government programs and near-record yields must be assumed at this time because they will aggressively apply fertilizer to prime yielding acres, one commercial trader noted. Reuter
NORTH YEMEN CALLS SUGAR BUYING TENDER - TRADE|North Yemen has called a buying tender for Saturday for the purchase of 30,000 tonnes of white sugar for arrival in June, traders said. REUTER
JAPANESE AUTOMAKERS TURN TO FOUR-WHEEL STEERING|Major Japanese automakers are gearing up to equip sporty models with four-wheel steering, a feature that could become standard on high-grade cars in the future, automotive industry sources said. Two companies are ready to market such cars soon, they said. Honda Motor Co Ltd will sell its Prelude with four-wheel steering from this Friday, and Mazda Motor Corp officials say a model with the new steering will be out by mid-year. Mazda aims to ship the cars overseas before year-end but the decision will depend on initial consumer reaction. Nissan Motor Co Ltd has offered a less sophisticated four-wheel steering system on its Skyline since August 1985. Toyota Motor Corp has exhibited its developments in the field at a recent motor show and Mitsubishi Motors Corp said it will use the system in the near future. Though major U.S. And European automakers have also researched and tested the four-wheel system, they say they are waiting to see consumer response to the Japanese cars and for further improvements in safety and costs. Four-wheel steering allows drivers to easily manoeuvre into parking spaces and gives more control on sharp turns. Mazda officials believe the new steering will improve safety. "At extremes, four-wheel steering gives a driver more control," said one official. "On slippery surfaces or at high speeds, the system reduces unnecessary movement of the vehicle." While acknowledging the added vehicle stability, a Honda engineer said: "This invention is not intended to improve safety, but is aimed at allowing everyone to drive easily." Mazda's electronic steering system tells the back wheels to turn in the opposite direction from the front wheels at slow speeds but in the same direction at high speeds. Honda's system, which is mechanical, is similar but the direction of the rear wheels is determined by the angle of the front wheels. With Nissan's system the rear wheels move only parallel to the front. Automakers say professional drivers who have tested the four-wheel steering say it greatly improves handling. An official with one U.S. Vehicle manufacturer said four-wheel steering is a technical improvement, but it is uncertain whether it will translate into higher sales or profits. "All automakers are interested in something new," he said. "If it becomes a predominant factor, everyone will want to follow." The official said four-wheel steering is partly a gimmick to sell cars. "It's a benefit of a secondary nature compared with devices for fuel economy or emission control." General Motors Corp has developed a four-wheel steering system, but is unlikely to market it within the next five years, Y. Hojoh, engineer with the Japan branch of General Motors Overseas Corp, said. GM must consider the costs to the consumer, he added. The industry sources said the additional cost of the system in Japan would probably make little difference to the consumer as it would be added to already high-priced models. REUTER
ASIAN EXPORTERS FEAR DAMAGE FROM U.S.-JAPAN RIFT|Mounting trade friction between the U.S. And Japan has raised fears among many of Asia's exporting nations that the row could inflict far-reaching economic damage, businessmen and officials said. They told Reuter correspondents in Asian capitals a U.S. Move against Japan might boost protectionist sentiment in the U.S. And lead to curbs on American imports of their products. But some exporters said that while the conflict would hurt them in the long-run, in the short-term Tokyo's loss might be their gain. The U.S. Has said it will impose 300 mln dlrs of tariffs on imports of Japanese electronics goods on April 17, in retaliation for Japan's alleged failure to stick to a pact not to sell semiconductors on world markets at below cost. Unofficial Japanese estimates put the impact of the tariffs at 10 billion dlrs and spokesmen for major electronics firms said they would virtually halt exports of products hit by the new taxes. "We wouldn't be able to do business," said a spokesman for leading Japanese electronics firm Matsushita Electric Industrial Co Ltd <MC.T>. "If the tariffs remain in place for any length of time beyond a few months it will mean the complete erosion of exports (of goods subject to tariffs) to the U.S.," said Tom Murtha, a stock analyst at the Tokyo office of broker <James Capel and Co>. In Taiwan, businessmen and officials are also worried. "We are aware of the seriousness of the U.S. Threat against Japan because it serves as a warning to us," said a senior Taiwanese trade official who asked not to be named. Taiwan had a trade trade surplus of 15.6 billion dlrs last year, 95 pct of it with the U.S. The surplus helped swell Taiwan's foreign exchange reserves to 53 billion dlrs, among the world's largest. "We must quickly open our markets, remove trade barriers and cut import tariffs to allow imports of U.S. Products, if we want to defuse problems from possible U.S. Retaliation," said Paul Sheen, chairman of textile exporters <Taiwan Safe Group>. A senior official of South Korea's trade promotion association said the trade dispute between the U.S. And Japan might also lead to pressure on South Korea, whose chief exports are similar to those of Japan. Last year South Korea had a trade surplus of 7.1 billion dlrs with the U.S., Up from 4.9 billion dlrs in 1985. In Malaysia, trade officers and businessmen said tough curbs against Japan might allow hard-hit producers of semiconductors in third countries to expand their sales to the U.S. In Hong Kong, where newspapers have alleged Japan has been selling below-cost semiconductors, some electronics manufacturers share that view. But other businessmen said such a short-term commercial advantage would be outweighed by further U.S. Pressure to block imports. "That is a very short-term view," said Lawrence Mills, director-general of the Federation of Hong Kong Industry. "If the whole purpose is to prevent imports, one day it will be extended to other sources. Much more serious for Hong Kong is the disadvantage of action restraining trade," he said. The U.S. Last year was Hong Kong's biggest export market, accounting for over 30 pct of domestically produced exports. The Australian government is awaiting the outcome of trade talks between the U.S. And Japan with interest and concern, Industry Minister John Button said in Canberra last Friday. "This kind of deterioration in trade relations between two countries which are major trading partners of ours is a very serious matter," Button said. He said Australia's concerns centred on coal and beef, Australia's two largest exports to Japan and also significant U.S. Exports to that country. Meanwhile U.S.-Japanese diplomatic manoeuvres to solve the trade stand-off continue. Japan's ruling Liberal Democratic Party yesterday outlined a package of economic measures to boost the Japanese economy. The measures proposed include a large supplementary budget and record public works spending in the first half of the financial year. They also call for stepped-up spending as an emergency measure to stimulate the economy despite Prime Minister Yasuhiro Nakasone's avowed fiscal reform program. Deputy U.S. Trade Representative Michael Smith and Makoto Kuroda, Japan's deputy minister of International Trade and Industry (MITI), are due to meet in Washington this week in an effort to end the dispute. REUTER
BOTSWANA APPEALS FOR DROUGHT AID|President Quett Masire appealed for international aid to combat the effects of a drought ravaging land-locked Botswana for the sixth consecutive year. Speaking on state radio, Masire said the drought had decimated herds of cattle and wiped out crops throughout the mainly desert country, which would be forced to rely on South Africa for most of its food supplies in the coming year. Masire said the government would also be forced to continue a drought relief program until at least the end of 1988 to provide emergency water supplies and supplementary food to vulnerable sections of the population. "It is against this background that we appeal to the international community for assistance," Masire said. He thanked foreign governments for previous assistance, but added, "The needs of the people in rural areas are greater now, not less. We must prevent the human suffering caused by malnutrition." REUTER
ITT CORP <ITT> DECLARES DIVIDEND|Qtly div 25 cts vs 25 cts prior Pay July 1 Record May 7 Reuter
COUPON CUT ON KEIHANSHIN REAL ESTATE WARRANT BOND|The coupon on the 25 mln dlr equity warrant eurobond for Keihanshin Real Estate Co Ltd has been set at 2-1/8 pct compared with the 2-1/4 pct indication, lead manager Daiwa Europe Ltd said. The exercise price has been set at 810 yen per share which represents a premium of 2.53 pct over today's closing price of 790 yen. The exchange rate was set 146.30 yen to the dollar. The five-year deal is priced at par and guaranteed by the Sumitomo Bank Ltd. REUTER
CBT CORN FUTURES HOLD GAINS AT MIDSESSION|CBT corn futures held gains of two to 2-3/4 cents per bushel in moderately light midsession trade. Yesterday's sharp jump in the weekly corn export figure to about three times last year's weekly inspections, plus the outlook for a continued active export pace due to the decline in the U.S. dollar this year, supported nearbys, traders said. Diminished PIK-and-roll activity, compared with the active pace seen last week, added to the more positive tone. Most dealers expect the contract lows in corn futures to hold, with some looking for the improving chart picture to support a further advance. A local house, Cargill, the Illinois Co-op, Refco and ADM were the featured buyers of old crop May, with Drexel/Burnham a steady buyer in new crop December, pit brokers said. Reuter
TEXACO <TX> CONFIRMS TEXAS COURT FILING|Texaco Inc said it filed a petition in the Texas Court of Appeals for relief of the bond and lien provisions of the 10.3 billion dlr judgement in its legal dispute with Pennzoil Co <PZL>. Earlier today, a lawyer for Pennzoil told Reuters a filing had been made in the Texas court of Appeals. "The petition asks the court to determine a reasonable security arrangement between Texaco and Pennzoil," Texaco said in a statement. Texaco also said it asked the court for a temporary restraining order against Pennzoil's enforcement of the 10.3 billion dlr judgement until the petition is resolved. According to Texas law, Texaco could be forced to post the full amount of the judgement as a bond. If it fails to do so, Pennzoil could seek liens against Texaco's assets for the full amount of the judgement. Yesterday the U.S. Supreme Court stuck down a lower federal court ruling which had cut Texaco's bond to one billion dlrs. It said the issue should first be considered in Texas state Courts. Earlier, the attorney for Pennzoil said Texaco had suggested a bond of one to 1.5 billion dlrs as a reasonable amount in today's filing. But a Texaco spokesman had no immediate comment on the figure. Reuter
DOLLAR REMAINS IN NARROW RANGE IN QUIET ZURICH|The dollar remained confined in the same narrow range in quiet trading, benefitting only slightly from comments by Fed Chairman Paul Volcker that further sizeable dollar losses would be counter-productive, dealers said. It finished at 1.5140/50 Swiss francs after opening at 1.5128/38 and closing yesterday at 1.5185/95. "Volcker's remarks produced some buying interest but most people were still waiting to see what comes out of the finance ministers' meetings in Washington," one dealer said. Other currencies lost ground against the Swiss franc. Sterling eased after advancing sharply yesterday on expectations of an early U.K. General election. The pound ended at 2.4469/4501 francs compared with 2.4547/4578 yesterday. The mark slipped to 82.83/93 centimes from 83.11/21 and the French franc dipped to 24.90/94 from 24.98/25.02. REUTER
KANSAS CITY DAILY FEED-WHOLESALE PRICES (USDA)|(DLRS PER TON, BULK, IN CAR OF TRUCK LOTS) 44 PCT SOYBEAN MEAL/SOLVENT 156.70-160.70 48 PCT SOYBEAN MEAL/SOLVENT 168.70-171.70 41 PCT COTTONSEED MEAL/SOLVENT 145.00 50 PCT Meal and bone meal 187.50 50 PCT Meal/bone meal blended 187.50 GLUTEN FEED 100.00 GLUTEN MEAL 230.00 WHEAT BRAN and MIDLNGS 35.00-36.00 FEATHER MEAL 145.00-150.00 FEATHER MEAL - ARKANSAS POINTS 130.00-135.00 ANIMAL FAT - cts per lb yellow 9-1/2 BLEACHABLE FANCY 11-1/2 HOMINY FEED 60.00 DEHYDRATED ALFALFA MEAL 95.60 SUN-CURED ALFALFA PELLETS 85.00 BLACKSTRAP MOLASSES 97.20 DEHYDRATED ALFALFA PELLETS ALFALFA CENTER OF NEBRASKA 81.00 ALFALFA HAY FOB STORAGE ALFALFA CENTER 40.00-45.00 Reuter
AVON PRODUCTS <AVP> TO BUY GIORGIO FOR 185 MLN|Avon Products Inc said it reached an agreement in principle to purchase <Giorgio Inc>, a fragrance company, for 185 mln dlrs in cash. Giorgio's annual revnues are more than 100 mln dlrs, Avon said. The acquisition has been approved by Avon's board, with the closing set for May 7. The transaction would have no impact on Avon's current dividend rate, it said. Giorgio's boutique in Beverly Hills, Calif., will be sold back to Fred Hayman, one of the shareholders, who will continue to operate it independently, Avon said. Avon said it identified Giorgio more than a year ago as a preferred acquisition candidate. It said it is launching a prestige fragrance developed in conjunction with Catherine Deneuve this spring. Giorgio will be operated as a separate subsidiary, Avon said, and would not compete with Avon's direct selling beauty products business. Reuter
ITALIAN BANK DEPOSIT GUARANTEE FUND APPROVED|The executive committee of the Italian national banking association (ABI), representing the country's major credit institutions, approved the setting up of a common reserve fund to guarantee customer deposits in the event of bank failures. ABI chairman Giannino Parravicini told a news conference that the fund would not be operative until the latter part of 1987, and only on condition that 60 pct of banks representing at least 75 pct of total deposits participated. He said the fund would initially have 1,000 billion lire available and would cover deposits of up to three billion lire. A statute for establishing a deposit guarantee fund has already been approved by the Bank of Italy and by an interministerial committee on credit and savings. The 1,000 billion lire initial funding, which will be provided through contributions from banks which opt to join the scheme, compares with an originally targetted figure of 4,000 billion lire. Parravicini said the fund would be gradually increased to 4,000 billion lire by end 1991, and that the decision to achieve this figure gradually rather than immediately was due to fiscal considerations. The fund, still to be formally ratified by ABI's steering committee, will provide 100 pct coverage on deposits of up to 200 mln lire, 90 pct on deposits between 200 mln and one billion lire and 80 pct on those between one billion and three billion lire. Assuming that all banks join the fund, contributions would be equivalent to around 0.25 pt of a bank's total deposits. The ABI's steering committee later unanimously ratified the executive committee's decision to create the common reserve fund. REUTER
NORWAY TO TIGHTEN RULES FOR REGISTERING LOANS|Norway will from June require finance institutions and insurance companies to report lending volume to the central bank once a month rather than quarterly in a bid to tighten domestic lending, Finance Ministry officials said. Norwegian Bank Association President Trond Reinertsen told Reuters the new rule would make it more difficult for banks to transfer funds to financial and insurance companies for lending. Banks have in the past used the two month lapse in loan registration to transfer money for lending to finance and insurance groups to avoid penalty reserve requirements for lending in excess of government set ceilings. The new rule brings loan reporting requirements for insurance and finance companies in line with those already applied to commercial banks, Ministry officials said. Borrowers have increasingly sought loans from finance and insurance companies after the central bank last year clamped down on what it called excessive bank lending. Bank lending dropped by five billion crowns in January from 260 billion crowns the previous month in response to the stricter penalty reserve requirements, Oslo bankers said. They said recent central bank cuts in the overnight rate it charges banks might offset new pressure on interest rates. REUTER
N.Y. COTTON FUTURES STEADY IN EARLY TRADING|Cotton futures were steady this morning on commission house buying. But trade selling was keeping gains to a minimum, brokers said. There was no news, but brokers said the market is technically weak and in search of a bottom. Recent news of poor export sales remained a damper, brokers said. Cotton for May delivery was up 0.25 cent at 56.05 cents a lb in a 56.30 to 55.80 cent range. December delivery was up 0.40 cent at 55.15 cents. Reuter
