SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
ENTERRA CORP <EN> SELLS TWO UNITS|Enterra Corp said it has completed the sale of its Hale Fire Pump co and Macomson Machine Co subsidiaries to a company formed by Los Angeles investment firm McBain, Rose Partners for about 27 mln dlrs in cash. Both Hale and Macomson make fire pumps and related equipment. Reuter
ST LOUIS HOGS UP 1.00/1.25 DLR - USDA|Barrows and gilt prices rose 1.00 to 1.25 dlr in active trade, usda said. Top 51.25 dlrs per cwt. US 1-3 210-270 lbs 50.50-51.00 and 100 head 51.25. sows - scarce. us 1-3 over 550 lbs 47.00-48.00. Reuter
FCS LABORATORIES <FCSI> TERMINATES DEAL TALKS|FCS Laboratories Inc said merger discussions with an unnamed privately-held company in the health care field have ended without an agreement. The previously announced negotiations began last August, the company said. "It's disappointing to spend so much time on these negotiations and have them fail," said FCS chairman Nicholas Gallo III. "But the discussions could not produce a deal acceptable to our board in the context of the company's stronger financial position today as compared to six months ago." Gallo said FCS will stop actively seeking potential merger partners, but will respond to serious inquiries. "We are determined to follow our plan to restore this company to profitability," he said. "To continue actively searching for potential acquirers inherently forces us to postpone the implementation of critical decisions which are part of the plan." The company, which has 4,475,930 common shares outstanding, reaffirmed it expects to be profitable in the second half of the fiscal year ending September 30, 1987. Reuter
CHRYSLER <C> LATE MARCH U.S. CAR SALES UP|Chrysler Corp said car sales for the March 21-31 period rose 20.2 pct to 40,454 from 33,669 a year earlier. For the month of March, it said auto sales increased 6.3 pct to 96,649 from 90,945. Chrysler said U.S. truck sales in late March jumped 65.2 pct to 28,698 from 17,372 a year ago. For the entire month, truck sales advanced 28.9 pct to 63,283 from 49,102, it said. The company said it was still tabulating year-to-date figures. Reuter
PLESSEY <PLYL.L> WINS 100 MLN DLR U.S. PHONE ORDER|The Plessey Co Plc announced it had won a 100 mln dlr digital telephone exchange order in the United States, which it said was the first major U.S. Telephone exchange order not to go to established U.S. Suppliers. <South Central Bell Telephone Co>, a unit of Bellsouth Corp <BLS.N>, placed the order with Plessey's U.S. Subsidiary <Stromberg-Carlson>. Most of the equipment for the 100 exchanges will be built in Stromberg-Carlson's Florida plant over the next three years. "It is the most important thing that has happened in the Plessey telecommunications business," said Plessey Telecommunications Managing Director David Dey. The British firm failed to win a four billion dlr deal to supply an advanced communications system to the U.S. Army in November 1985 despite personal lobbying by Prime Minister Margaret Thatcher. A rival French system won the contract. REUTER
SINGAPORE RUBBER ENDS MORNING - HIGHER|The rubber market ended the morning higher with May 1 rss buyers quoted at 195.50 cents/kilo, up 1.75 cents from yesterday, dealers said. After opening 0.25 cent higher, prices gained further ground on some buying support and trade short-covering of nearby position in quiet trading, they said. On the TSR-20 market, trading was very quiet and prices rose slightly in line with the RSS market, dealers said. TSR-20 May and June were quoted at 163.50 cents/kilo, both up 0.50 cent from yesterday. REUTER
FRENCH TREASURY TO REPAY 680 MLN FRANCS OF DEBT|The French treasury has decided to repay 680 mln francs of debt issued before 1950, the Finance Ministry said. Seven issues, accounting for 0.13 pct of total state domestic debt, would be redeemed by the Caisse d Amortisement de la Dette Publique, the national debt amortisation fund, a Ministry statement said. The Ministry said the debt rationalisation exercise, similar to one carried out in 1958 and 1959, would take out of circulation old issues which were expensive to manage and difficult to trade because of their highly complex structure. Technical details of the operation would be announced in the next few days. The securities to be redeemed would be the three pct perpetual rente, five pct perpetual rente, four pct 1941-1960 redeemable rentes, 3.5 pct 1942-1952 redeemable rentes, three pct 1942-1955 redeemable rentes, three pct 1945-1954 redeemable rentes, and 4.5 pct 1933-1960 redeemable treasury bonds. The ministry said the operation would mainly benefit long-term holders of the issues, mainly small investors and small communes. The issues were difficult to trade because they comprised securities of variable nominal value, it noted. REUTER
WINNIPEG GRAIN OPG TRENDS 7-APR|846 JUL7 877A 877 OCT7 -- 926 DEC7 -- 953 OATS OPEN P SETT MAY7 752A 755 JUL7 720A 722 OCT7 -- 702 DEC7 -- 700 BARLEY OPEN P SETT MAY7 777A 779 JUL7 787B 790 OCT7 737A 738 DEC7 732H 732L 733 MAR8 -- 739 FLAX OPEN P SETT MAY7 1920H 1920L 1907 JUL7 1975B 1960 OCT7 2050B 2040 DEC7 2089H 2089L 2080 MAR8 2130B 2125 WHEAT OPEN P SETT MAY7 856A 857 JUL7 856A 857 OCT7 832H 832L 832 DEC7 829B 829 VANCOUVER RAPESEED OPEN P SETT JUN7 2213L 2218H 2213 SEP7 2288L 2290H 2286 NOV7 2332H 2332L 2324 JAN8 2380T 2381B 2373 MAR8 2415B 2410
ILLINOIS POWER <IPC> FILES 50 MLN DLR SHELF|Illinois Power Co said it filed a shelf registration to issue up to 50 mln dlrs principal amount of debt securities. No date for an offering was announced. It said at the time the shelf is issued, the net proceeds from this registration and a previous registration, together totaling 75 mln dlrs, will be used in part to refund a portion of the company's outstanding first mortgage bonds and in part to reimburse a part of the funds required in earlier refunding activities. Reuter
U.S. GOLD PRODUCTION ROSE IN DECEMBER|U.S. mine production of gold rose to 244,900 troy ounces in December from 244,749 ounces in November, the U.S. Interior Department's Bureau of Mines said. U.S. imports of gold in December were 692,700 ounces, vs 2,011,754 ounces in November and 611,811 ounces in December, 1985. Gold exports totaled 243,191 ounces in December, vs November's 374,468 ounces and 350,078 ounces in December a year earlier. Mine production of gold in the 12-month period Jan-Dec, 1986, totaled 2,951,151 ounces, vs 2,475,436 ounces over the same period in 1985. Gold imports in Jan-Dec, 1986, totaled 15,749,447 ounces, vs 8,225,999 ounces for the same period in 1985, while exports stood at 4,612,919 ounces and 3,966,678 ounces over the respective periods, the bureau said. Reuter
COMEX GOLD FUTURES EXPECTED TO OPEN HIGHER|Comex gold futures are expected to open 1.50 to 2.00 dlrs higher following London gold. Reuter
PRS ADD PARIS SUGAR CLOSING - APR 07|1010
TELEBYTE TECHNOLOGY INC <TBTI> YEAR|Shr loss 10 cts vs loss 13 cts Net loss 197,779 vs loss 245,190 Revs 4.0 mln vs 3.1 mln Reuter
JAPAN MAKES SEAMLESS-PIPE DEALS WITH CHINA, USSR|Sumitomo Metal Industries Ltd <SMIT.T> said it and four other firms jointly concluded negotiations to export a total of over 400,000 tonnes of seamless pipes in the six months to end-September to China and the Soviet Union. Export prices for that period for both countries were set 100 to 150 yen per tonne higher than previous contracted prices due to the yen's gains against the dollar, it said. Contracted export volume for China is likely to be over 200,000 tonnes against 350,000 for Oct 1986-March 1987, and 420,000 for April-Sept 1986, and for the Soviet Union over 200,000 tonnes. No direct Soviet comparison was available. REUTER
NORANDA BUYS SHARES OF SANIVAN GROUP|<Noranda Inc> said it agreed to buy an initial 1,000,501 treasury shares of <Sanivan Group Inc> at 5.25 dlrs per share. Noranda also has an option until June 30, 1988, to acquire an additional 1,000,501 Sanivan treasury shares at 5.75 dlrs per share. Sanivan is the largest hazardous waste management company in Canada. Reuter
CASH WHOLESALE BEEF PRICES|CLOSE APRIL 6 CENTS PER LB CHANGE CHOICE STEERS YIELD GRADE 3 600/700 unquoted 700/800 unquoted 800/900 unquoted CHOICE HEIFERS 500/550 88A unch 550/700 93-95 unch Reuter
UK MINISTER LOOKS TO EASE TENSION ON TOKYO TRIP|The U.K. Government hopes for a breakthrough on the deadlock with Japan over trade policies during next week's visit to Tokyo by Corporate Affairs Minister Michael Howard, political sources said. Howard, who leaves for Japan tomorrow, told Reuters he will try to promote understanding on trade issues during his visit. Meanwhile, Britain will re-examine a letter from Japanese Prime Minister Yasuhiro Nakasone promising personal help in solving the row over a U.K. Firm's bid to win a significant role in Japan's telecommunications market, government sources said. Tensions have risen following Britain's decision to arm itself early with new statutory powers which it says could be used against certain Japanese financial institutions. Britain reacted optimistically at first to the letter from Nakasone to Prime Minister Margaret Thatcher, seeing it as a signal that he would work towards ensuring a satisfactory outcome to the bid launched by Cable and Wireless Plc <CAWL.L>, government officials said. But this view has since been clouded by reports from Tokyo that Nakasone's assurances really constituted little more than politeness in the face of British anger, they added. Howard said he would use his trip to push for a bigger role in Japan's telecommunications industry for Cable and Wireless Plc. The U.K. Government has made the issue a test case for Japan's willingness to open its markets adequately to outside competition. Asked whether the letter from Nakasone was a rejection of attempts by Britain to achieve that, Howard said "I am not sure it is correct to regard Mr Nakasone's letter as a rejection of Mrs Thatcher's request of him - and it says he is taking a personal interest in this problem. "I don't understand it to be closed at all." Howard added that during his Tokyo visit he would be "talking to them about it (the letter), finding out exactly what they do mean about it, and making it plain that we take a very serious view of the fact that access to Japanese markets is not as free as we allow access to our markets to be." He noted that under the new Financial Services Act, Britain could revoke or deny licences to Japanese banking and insurance institutions in London if U.K. Firms fail to receive similar treatment in financial markets in Japan soon. "I hope it won't come to that, and I don't think it will," Howard added. During the trip Howard will meet officials in the Tokyo Stock Exchange, the Ministry of Finance, the Trade Ministry, and Posts and Telecommunications Minister Shunjiro Karasawa. Karasawa is regarded as behind opposition to any significant role for Cable and Wireless in the Japanese telecommunications industry. Share prices on the London Stock Exchange were undermined again today by fears of a possible U.K./Japanese trade war. This was despite denials by Trade and Industry Secretary Paul Channon that Britain was on the verge of a trade war. He told a meeting of insurance brokers today that Britain believed a "sensible solution" could be found which would open Japanese markets to British goods. Government officials were at pains today to deny that Britain had set a deadline of three weeks for Japan to promise similar access to its financial markets to U.K.-based financial firms as that enjoyed in London by equivalent Japanese firms. They said that Department of Trade and Industry officials had said yesterday that the measures against Japanese financial institutions could be imposed from then but that this did not necessarily constitute a deadline. Experts believe Britain would lose out by acting against Japanese banks, insurance and investment institutions. But despite the danger of Japanese firms taking their trade elsewhere in Europe, Howard said he did not expect the move to backfire. He said in a radio interview today "it is true that we benefit from their presence - but they would not want to lose those advantages. And I am sure they are making their views plain to the Japanese government on this matter." Howard, who will also be visiting South Korea before returning to London on April 11, said his trip to Tokyo was planned well before the current trade row. Howard said his talks with Japanese officials would also include ways of jointly combating financial fraud in global markets with Japanese officials. This would be done through a cooperation between national regulatory bodies. He said a memorandum of understanding for exchanging information to combat financial fraud would be sought with Japan on terms similar to one signed last autumn between Britain and the United States. REUTER
OLIN <OLN> UNIT ACQUIRES IMAGE TECHNOLOGY|Olin Corp's Olin Hunt Specialty Products Inc said it acquired Image Technology Corp for undisclosed terms. Image Technology makes chemicals for the semiconductor industry. Reuter
WALL STREET STOCKS OUTLOOK|Stock prices may climb higher today, riding a two-day advance that saw the Dow Industrials climb 85 points, analysts said. But they cautioned that the market is due for a pause after such a strong climb and could move into a short term consolidation today as well. Yesterday, the Dow Jones Industrial average closed above the 2400 mark for the first time ever. Special situations, airlines and a strong bond market helped push the average up 15 points to end the day at 2406. Gainers led losers by seven-six on the Big Board, while volume slid slightly to 175 mln shares from 213 mln shares last Friday. "I think we'll get a day that will be, on balance, positive, but not any record setter," Thom Brown of Butcher and Singer said. Brown said that the market needs a pause before any stronger advance. "We need a bit of consolidation here," he said. "Eighty-five points is just too much, too soon." Brown added that the market probably will not pay much attention to the February consumer credit number being released today. "The market's been ignoring fundamentals," he said. "I don't see any problems with the Blue Chips easing higher today," Chris Callies of Dean Witter said. But she said the market may have some short term trouble in this 2400 area. "We're still in the midst of a correction" in the broad market, she said. "It's not entirely clear that this rally is the end of the two day correction that began last week." In the newspapers -- The Wall Street Journal's Heard on the Street said some people feel that when Mesa Limited Partnership provided badly needed assets to NRM Energy in exchange for a large stake in the company the move may have turned NRM into a T. Boone Pickens investment fund. The New York Times Market Place column said the first half hour of trading is becoming more important. That is the time when a large amount of important and growing investment from Japan and Europe enters the market. Indeed, the column said that a Salomon Brothers study shows that 44 pct of the market's total gain during the first two and a half months of this year came in the first half hour of trading. Reuter
N.Y. PLATINUM FUTURES RISE IN EARLY TRADING|Platinum futures rose in thin early trading as the metal again followed silver to higher ground, floor analysts said. The key July delivery traded at 573.50 dlrs an ounce, up 4.90 dlrs. Other months posted gains of 4.40 to 7.40 dlrs. Palladium was 20 to 70 cts firmer in sympathy. Silver continued to set the pace for the metals complex, attracting purchases by professional traders and investors amid speculation the metal would soon breach selling resistance at seven dlrs an ounce in the May delivery. However, quick day-trader profit taking in the silver ring spilled over and platinum also backed off from early highs, brokers said. Reuter
ON-LINE SOFTWARE <OSI> 3RD QTR FEB 28 NET|Shr primary 34 cts vs 17 cts Shr diluted 33 cts vs 17 cts Net 1,487,000 vs 686,000 Rev 19.8 mln vs 8.8 mln Nine months Shr primary 77 cts vs 43 cts Shr diluted 75 cts vs 43 cts Net 3,240,000 vs 1,710, 000 Rev 42.2 mln vs 25.0 mln NOTE: Company's full name is On-Line Software International Inc. The qtr and year-to-date results include the operations, since the end of October 1986, of a business purchase from Martin Marietta Corp <ML>. In fiscal 1987 ending May 31 the company initially adopted FASB statement number 86 and, as required, capitalized certain software deveopment costs. During the qtr and nine months period ended Febraury 28, 1987 the company capitalized pre-tax amounts of 746,000 dlrs and 1,445,000 dlrs of development costs, respectively. Reuter
OMAHA HOGS SEEN OFF 0.50 DLR - PRIVATE SOURCES|Hog prices was expected 0.50 dlr lower on estimated receipts of 2,700 head, private sources said. Top seen at 50.00 dlrs per cwt. There were reports that the west had an overrun of hogs yesterday. Reuter
PALM OIL OUTPUT SEEN DROPPING SHARPLY - OIL WORLD|Malaysian and Indonesian palm oil production is likely to drop sharply this year, due to lower yields, the Hamburg-based newsletter Oil World said. The publication expects total Malaysian output during Jan/Sept 1987 to decline by eight pct to 3.05 mln tonnes. For East Malaysia, it put production during the period at 297,000 tonnes after 312,000 a year earlier and for West Malaysia 2.75 mln compared with just over 3.0 mln during Jan/Sept 1986. It said new plantings had slowed markedly in both countries, but the effects of this will not be felt until 1988-90. Above normal yields during recent years resulted in trees reacting to the stress by changing the sex ratio to more male inflorescences and/or aborting more female, Oil World said. Yields per hectare are also likely to be adversely affected this year by insufficient rain up to 25 months ago. This could especially affect trees in West Malaysia during April/June, while in East Malaysia the impact will be in February/April and July/Dec, and in Indonesia July/Sept. Last year's cut in fertilizer use will hit this year's yields and bigger effects are expected within the next three years, Oil World said without elaborating. Opening stocks in West Malaysia at the start of this year were put at only 565,000 tonnes compared with 914,000 in January 1986, Oil World said. West Malaysian net exports are therefore expected to drop 500,000 tonnes to 2.54 mln during Jan/Sept, while those of East Malaysia are likely to decline by 10 pct to 280,000 tonnes. Indonesian palm oil production is forecast to fall about eight pct during Jan/May, but to rise from June on. Overall Indonesian output during Jan/Sept is forecast to rise three pct to 933,000 tonnes. Indonesian stocks as of April 1, however, are put at only 65,000 tonnes compared with 160,000 a year ago. Indonesian export commitments and domestic requirements are both running at high levels, Oil World said, and it expects the country's imports to reach a record 110,000 tonnes during Jan/Sept. The bulk of this will arrive during Feb/May, ahead of the April elections and the religious Ramadan festival throughout May, it said. Indonesian net exports, therefore, may fall by 29 pct to 350,000 tonnes, Oil World said. The possibility that recent Indonesian palm oil purchases will not actually enter the country but be transshipped to other countries to fulfill Indonesia's export orders cannot be ruled out, it said. REUTER
U.K. MONEY MARKET GIVEN 224 MLN STG ASSISTANCE|The Bank of England said it had provided the money market with 224 mln stg help in the morning session. This compares with the Bank's forecast of a shortage in the system today of around 850 mln stg which it earlier revised up from 800 mln. The central bank bought bank bills comprising 27 mln stg in band one at 9-7/8 pct, 21 mln stg in band two at 9-13/16 pct and 171 mln stg in band three at 9-3/4 pct. It also purchased three mln stg of treasury bills and two mln stg of local authority bills in band three at 9-3/4 pct. REUTER
U.S. GRAIN CARLOADINGS FALL IN WEEK|U.S. grain carloadings totaled 25,744 cars in the week ended March 28, down 4.3 pct from the previous week but 41.6 pct above the corresponding week a year ago, the Association of American Railroads reported. Grain mill product loadings in the week totalled 10,920 cars, up 0.1 pct from the previous week and 12.7 pct above the same week a year earlier, the association said. Reuter
SYDNEY FINANCIAL FUTURES CLOSE MIXED|Exhausted buyers and a late fall on the Australian share market due to profit-taking led to a sharp drop in share price index contracts on the Sydney Futures Exchange, dealers said. Domestic credit futures were mixed, with 90-day bank bills firming in line with easier physical yields as the dollar rose, they said. Ten-year bond futures, however, were steady on the day's open in line with little changed physical yields. Comex-linked gold futures were higher on rises in bullion, while international credit futures were mixed in extremely thin trade. June share price index futures closed at 1735.5 from the day's 1754.0 open, well off yesterday's record 1748.5 close. September was also well down on 1737.0 from 1763.0 after finishing at 1746.0 yesterday. About 3,154 lots were traded. Dealers said the momentum of the futures market appeared to be exhausted, with a return to bigger discounts now likely. Demand for gold and industrial stock continued to drive up the all ordinaries index, which climbed 8.5 points to 1754.8, although this was well off the day's highs after late profit-taking. Easier physical yields, as a result of the firmer Australian dollar, also saw rises in 90-day bank bill futures. June contracts rose to 85.16 from the day's 85.00 open in active trade after falling to a low of 84.96. September rose to 85.25 from 85.12 after finishing yesterday at 85.20. About 6,912 contracts were traded. Physical yields eased to 15.48/53 pct from 15.60. June 10-year bond futures, the only month to trade, were steady on the day's 86.87 open after closing yesterday at 86.96. About 7,041 lots were exchanged. Physical March 1997 paper was 13.11/14 pct from 13.14. June Comex-linked gold futures finished strongly at 425.00 U.S. Dlrs an ounce from the day's 423.20 open and overnight close of 422.60 in line with strong gains in bullion. Only nine lots were traded. International credit futures were mixed, with June U.S. T-bonds finishing lower at 97.27 from the day's 97.30 start, well off the overnight Chicago close of 98.04. The contract was untraded locally yesterday. June Eurodollars were untraded on a buy/sell quote of 93.31/36 after finishing at 93.35 in Chicago from a local close yesterday of 93.36. REUTER
RUDING AGAINST FURTHER DOLLAR FALL, TRADE CURBS|Shifts in domestic economic policy, not a further fall in the dollar or trade restrictions, are the key to reducing imbalances in trade and payments, Dutch Finance Miniister H. Onno Ruding said. Ruding told a meeting of the World Trade Forum here that protectionism would naturally lead to retaliation and aggravate the problems of heavily indebted developing countries. "The main contribution towards resolving the still enourmous U.S. trade deficit is not repeat not a further fall in the dollar, is not still more protectionism in your country." "No, it is - like in other countries - changes in domestic economic and financial policies," Ruding said. Ruding said he was less worried about a crisis of the weakening dollar than he was in January before the Paris accord to stabilize foreign exchange rates. He said the highest priority should be given to policy changes in the United States, especially reducing the budget deficit and encouraging domestic savings. But he said other countries, such as Japan and West Germany, also needed to take greater steps toward reducing their trade surpluses. Reuter
BUNDESBANK SETS NEW REPURCHASE TENDER|The Bundesbank set a new tender for a 28-day securities repurchase agreement, offering banks liquidity aid at a fixed bid rate of 3.80 pct, a central bank spokesman said. Banks must make their bids by 1400 GMT today. Funds will be allocated by 0900 GMT tomorrow and credited to accounts later in the day. Banks must repurchase securities pledged on May 6. REUTER
BRISTOL-MYERS <BMY> REVIEWING SCIMED MERGER|SciMed Life Systems Inc <SMLS> said Bristol-Myers Co is analyzing the pending lawsuit brought against SciMed by <Advanced Cardiovascular Systems Inc> to determine whether to consummate its previously announced plans to merge with SciMed. The company said its was served the suit in Minneapolis on March 31, the day after it announced its definitive merger agreement with Bristol-Myers. SciMed said the suit, which alleges that SciMed infringed on Advanced Cardiovascular patents, is without merit. Reuter
COPLEY PROPERTIES <COP> TO INVEST IN JOINT PACT|Copley Properties Inc said the company will invest 9,500,000 dlrs in a joint venture to acquire and develop 33.4 acres of industrial land in Hayward, Calif. Copley said it will own 60 pct of the project and be entitled to a 10 pct preferential return on its investment plus 60 pct of all excess cash from operations, refinancings and other capital transactions. Reuter
BOEING SEEKS CAUSE OF JAL ENGINE PROBLEM|Boeing Co. <BA> is trying to find out what caused an engine brace to snap on one of Japan Air Line's 747-SR jumbo jets, a spokesman for the airplane manufacturer said. "We know about the problem and we have provided a service advisory to operators of 747s," said the spokesman. "We are not advising any massive inspections at this time." The advisory alerts operators of the jumbo jets that a problem has occurred and under what circumstances, but it does not recommend any action. "A 'service bulletin' would be sent out if there is anything they should be concerned about," the spokesman said. A JAL spokesman in Toyko said inspectors making a routine check found one of three diagonal braces attaching an engine to the wing of a 747-SR had snapped due to metal fatigue. The airlines said it had ordered an inspection of all 11 of its 747-SR's. The plane is a full-sized jumbo jet that has been modified slightly to handle short-haul routes in Japan, mainly between Tokyo and Osaka. The jetliners have beefed-up landing gear to accommodate a higher-than-normal number of landings and takeoffs. Boeing's spokesman said only JAL and All Nippon Airlines use the 747-SR. JAL took delivery of its first 747-SR in 1973 and purchased two more last year. He said the braces had been shipped to a Boeing plant near Seattle where they were being inspected. Reuter
ST JOSEPH HOGS SEEN UP 1.00 DLR - PRIVATE|Hog prices are expected 1.00 dlr higher on estimated receipts of 1,500 head, private sources said. Top seen at 51.50 dlrs per cwt. Reuter
INDIANAPOLIS HOGS OPEN UP 1.75 DLR - PRIVATE|Hog prices gained 1.75 dlrs at the opening, private sources said. Top 52.25 dlrs per cwt. Reuter
ST PAUL HOGS SEEN STEADY - PRIVATE SOURCES|Hog prices are expected steady on estimated receipts of 2,800 head, private sources said. Top seen at 50.00 to 50.50 dlrs per cwt. Reuter
<DOUGLAS COMPUTER INTERNATIONAL> YEAR NET|Shr seven cts vs one ct Net 178,919 vs 34,429 Sales 3,148,420 vs 1,912,438 Reuter
SIOUX CITY CATTLE SEEN UP 0.50-1.00 DLR-PRIVATE|Cattle prices expected 0.50 to 1.00 dlr higher on estimated receipts of 900 head, private sources said. Steer top seen at 67.00 to 67.50 and Heifers at 66.00 dlrs. Sources expect support from good buyer demand influenced by higher trending wholesale carcass beef. Reuter
BNL UNIT ISSUES 15 BILLION YEN EUROBOND|A unit of Banca Nazionale del Lavoro is issuing a 15 billion yen eurobond due May 12, 1992 paying 4-1/2 pct and priced at 101-1/2 pct, market sources said. The joint bookrunners are Tokai International and Daiwa Europe Ltd. The formal name of the borrower is Banca Nazionale del Lavoro (London Branch) (Through the Law Debenture Corporation Plc). The non-callable bond is available in denominations of one mln yen and will be listed in Luxembourg. The selling concession is 1-1/4 pct while management and underwriting combined pays 5/8 pct. The payment date is May 11 and there will be a long first coupon period. REUTER
HOUSTON OIL ROYALTY TRUST <RTH> DISTRIBUTION|MONTHLY dist 2.1 cts vs 2.1 cts prior Payable April 25 Record April 15 Reuter
STEWART INFORMATION RESCHEDULES ANNUAL MEETING|Stewart INformation Services Corp said it rescheduled its annual meeting to May 18. It had been scheduled for APril 24. Reuter
SIOUX FALLS CATTLE OPEN UP 0.25-0.50 DLR-PRIVATE|Cattle prices gained 0.25 to 0.50 dlr at the opening, private sources said. STeer top 67.00 and Heifers 66.50 dlrs. Reuter
INTREPID MUSEUM CONTINUES REORGANIZATION TALKS|The Intrepid Museum Foundation reiterated that it is continuing negotiations with its official Bondholders' and creditors' committees concerning the terms of a Chapter 11 plan of reorganization. In December 1986, the museuem said it proposed a 20 pct cash payment to its bondholders and a 12.5 pct cash payment to the unsecured creditors. The museum said it is hopeful of filing a plan in the near future. The museum said it has 15.2 mln dlrs principal amount of gross revenue bonds outstanding, and approximately 1,350,000 of unsecured debt. Reuter
COLOMBIA'S MAIN OIL PIPELINE ATTACKED|State-run oil company Ecopetrol said Colombia's main oil pipeline was bombed again and pumping of 170,000 barrels per day was suspended. A spokeswoman for the company said that the early morning dynamite attack was the 31st in the last nine months on the Cano Limon-Covenas pipeline, which links Colombia's biggest oilfied at Cravo Norte to the Caribbean. She said about 2,000 barrels of crude were spilled and could not indicate when pumping would resume. The attack was near Magangue in northeastern Bolivar province. Ecopetrol is exploiting Cravo Norte in association with Occidental Petroleum Corp <OXY> and Shell Petroleum N.V., a unit of the Royal Dutch/Shell Group <RD> <ST>. Ecopetrol said in a communique that bombings since last July led to a loss of more than 110,000 barrels of crude, or the equivalent of 10 mln dlrs. Reuter
EC INDUSTRIAL PRODUCTION GROWTH HALTS IN JANUARY|Industrial production in the European Community (EC) in January showed no growth compared with January 1986, the EC statistics office, Eurostat, said in a report. It said the EC industrial production index, base 1980, stood at 103.9 in both months. EC officials said while the lack of growth may have been due in part to the icy weather which gripped large parts of the EC in January, it also reflects a worrying trend. Eurostat said for the last three months for which figures are known, industrial output rose by only 0.9 pct compared with the year-earlier period. Annual growth in the 12 months to January averaged about 1.8 pct, well below the 2.8 pct figure recorded in the 12 months ending last June, the office said. REUTER
LIEBERMAN ENTERPRISES INC 3RD QTR FEB 28 NET|Shr 51 cts vs 46 cts Shr diluted 44 cts vs 41 cts Net 2,267,000 vs 2,055,000 Sales 87.3 mln vs 70.4 mln Nine mths Shr 1.20 dlrs vs 1.12 dlrs Shr diluted 1.07 dlrs vs 1.03 dlrs Net 5,318,000 vs 4,958,000 Sales 243.7 mln vs 198.7 mln Reuter
KANSAS CITY HOGS SEEN STEADY - PRIVATE SOURCES|Hog prices are expected steady on estimated receipts of 500 head, private sources said. Top seen at 50.00 dlrs per cwt. Reuter
COGNITIVE <CSAI> COMPLETES WORK ON PROGRAM|Cognitive Systems Inc said it has completed work on a prototype artificial intelligence program for American Express Co's <AXP> American Express travel Related Services Inc involving a point-of-sale application for customer-assisted transactions. The company said it developed the prototype under a fixed price agreement on a one-tim project basis. It said American Express plans to conduct consumer testing of the program in the near future. Reuter
ERLY INDUSTRIES <ERLY> MAKES LOAN TO HANSON|Erly Industries Inc said it provided privately-owned Hanson Foods Inc with a 23 mln dlr credit line needed to carry out its voluntary reorganization plan. The plan calls for about 20 mln dlrs of the credit facility to be used to retire outstanding bank debt and to pay trade creditors, with the balance to be used for working capital, Erly said. Reuter
CONAGRA <CAG> TO PURCHASE 500,000 COMMON SHARES|ConAgra Inc said it will buy 500,000 shares of the company's common stock in the open market. This continues Conagra's program of acquiring treasury stock to meet stock option, incentive plan and preferred stock conversion obligations, it said. Conagra said its purpose is to use treasury shares for these purposes rather than issuing new shares so that earnings per share won't be diluted. The company said this is not a buy-back program to reduce shares and common equity. Conagra said it has 67.4 common shares outstanding. Reuter
OSHAP TECHNOLOGIES LTD <OSHUF> YEAR LOSS|Shr loss 12 cts vs loss three cts Net loss 646,000 vs loss 96,000 Revs 9,414,000 vs 9,899,000 Avg shrs 5,382,833 vs 3,722,833 NOTE: Converted using Dec 31 exchange rate of 40.05 Belgian francs to the U.S. dlr. Reuter
GM<GM> PONTIAC DIVISION SETS SUMMER LEASE PLAN|General Motors Corp's Pontiac Division said it is introducing a summer lease merchandising program that will run from April Six through August Three. It said the plan features a special GMAC 50-month retail schedule with low lease payments on selected Pontiacs. Participating dealers will offer monthly payments starting at 179 dlrs for a Pontiac Sunbird, it said. Reuter
HOTEL INVESTORS <HOT> HOLDERS APPROVE STOCK SALE|Hotel Investors Trust and Hotel Investors Corp, whose shares are paired and traded together, said shareholders approved the sale of 355,556 paired shares to John F. Rothman and Ronald A. Young the presidents and chief executive officers of the trust and corporation, respectively. Rothman and Young agreed to buy the shares for 22.50 dlrs each, subject to shareholder approval, after selling Wester Host Inc to Hotel Investors in December. The company had about 11.4 mln shares outstanding. Reuter
GENCORP <GY> UNIT COMPLETES WOR-TV SALE|GenCorp said its RKO General Inc subsidiary completed the sale of WOR-TV to MCA Inc <MCA> for 387 mln dlrs. The Federal Communications Commission approved the sale last December, GenCorp said. The closing was delayed because that decision was appealed by four parties to the U.S. Court of Appeals, GenCorp explained. WOR-TV is based in Secaucus, N.J., GenCorp said. Earlier today, <General Partners> said it was prepared to raise its bid to 110 dlrs per share, or even more, in its bid for GenCorp. Reuter
BAHRAIN DEPOSIT RATES - APRIL 7 SAUDI RIYAL - SPOT 3.7501/05 1|6.37 6 MTH SEVEN - 6.75 1 YR 7.18 - 6.93 EURO DOLLAR 1 MTH 6.43 - 6.31 2 MTH 6.50 - 6.37 3 MTH 6.56 - 6.43 6 MTH 6.62 - 6.50 1 YR 6.81 - 6.68 REUTER
